HomeTeam,AwayTeam,FTHG,FTAG
Arsenal,Newcastle,0,0
Everton,Brighton,1,4
Leicester,Fulham,0,1
Man United,Bournemouth,3,0
Southampton,Nott'm Forest,0,1
Leeds,West Ham,2,2
Aston Villa,Wolves,1,1
Crystal Palace,Tottenham,0,4
Chelsea,Man City,0,1
Fulham,Chelsea,2,1
Aston Villa,Leeds,2,1
Man United,Man City,2,1
Brighton,Liverpool,3,0
Everton,Southampton,1,2
Nott'm Forest,Leicester,2,0
Wolves,West Ham,1,0
Brentford,Bournemouth,2,0
Chelsea,Crystal Palace,1,0
Newcastle,Fulham,1,0
Tottenham,Arsenal,0,2
Crystal Palace,Man United,1,1
Man City,Tottenham,4,2
Liverpool,Chelsea,0,0
Bournemouth,Nott'm Forest,1,1
Leicester,Brighton,2,2
Southampton,Aston Villa,0,1
West Ham,Everton,2,0
Crystal Palace,Newcastle,0,0
Leeds,Brentford,0,0
Man City,Wolves,3,0
Arsenal,Man United,3,2
Fulham,Tottenham,0,1
Chelsea,Fulham,0,0
Everton,Arsenal,1,0
Aston Villa,Leicester,2,4
Brentford,Southampton,3,0
Brighton,Bournemouth,1,0
Man United,Crystal Palace,2,1
Wolves,Liverpool,3,0
Newcastle,West Ham,1,1
Nott'm Forest,Leeds,1,0
Tottenham,Man City,1,0
Man United,Leeds,2,2
West Ham,Chelsea,1,1
Arsenal,Brentford,1,1
Crystal Palace,Brighton,1,1
Fulham,Nott'm Forest,2,0
Leicester,Tottenham,4,1
Southampton,Wolves,1,2
Bournemouth,Newcastle,1,1
Leeds,Man United,0,2
Man City,Aston Villa,3,1
Liverpool,Everton,2,0
Arsenal,Man City,1,3
Aston Villa,Arsenal,2,4
Brentford,Crystal Palace,1,1
Brighton,Fulham,0,1
Chelsea,Southampton,0,1
Everton,Leeds,1,0
Nott'm Forest,Man City,1,1
Wolves,Bournemouth,0,1
Newcastle,Liverpool,0,2
Man United,Leicester,3,0
Tottenham,West Ham,2,0
Fulham,Wolves,1,1
Everton,Aston Villa,0,2
Leeds,Southampton,1,0
Leicester,Arsenal,0,1
West Ham,Nott'm Forest,4,0
Bournemouth,Man City,1,4
Crystal Palace,Liverpool,0,0
Tottenham,Chelsea,2,0
Arsenal,Everton,4,0
Liverpool,Wolves,2,0
Man City,Newcastle,2,0
Arsenal,Bournemouth,3,2
Aston Villa,Crystal Palace,1,0
Brighton,West Ham,4,0
Chelsea,Leeds,1,0
Wolves,Tottenham,1,0
Southampton,Leicester,1,0
Nott'm Forest,Everton,2,2
Liverpool,Man United,7,0
Brentford,Fulham,3,2
Bournemouth,Liverpool,1,0
Everton,Brentford,1,0
Leeds,Brighton,2,2
Leicester,Chelsea,1,3
Tottenham,Nott'm Forest,3,1
Crystal Palace,Man City,0,1
Fulham,Arsenal,0,3
Man United,Southampton,0,0
West Ham,Aston Villa,1,1
Newcastle,Wolves,2,1
Brighton,Crystal Palace,1,0
Southampton,Brentford,0,2
Nott'm Forest,Newcastle,1,2
Aston Villa,Bournemouth,3,0
Brentford,Leicester,1,1
Southampton,Tottenham,3,3
Wolves,Leeds,2,4
Chelsea,Everton,2,2
Arsenal,Crystal Palace,4,1
Man City,Liverpool,4,1
Arsenal,Leeds,4,1
Bournemouth,Fulham,2,1
Brighton,Brentford,3,3
Crystal Palace,Leicester,2,1
Nott'm Forest,Wolves,1,1
Chelsea,Aston Villa,0,2
West Ham,Southampton,1,0
Newcastle,Man United,2,0
Everton,Tottenham,1,1
Bournemouth,Brighton,0,2
Leeds,Nott'm Forest,2,1
Leicester,Aston Villa,1,2
Chelsea,Liverpool,0,0
Man United,Brentford,1,0
West Ham,Newcastle,1,5
Man United,Everton,2,0
Aston Villa,Nott'm Forest,2,0
Brentford,Newcastle,1,2
Fulham,West Ham,0,1
Leicester,Bournemouth,0,1
Tottenham,Brighton,2,1
Wolves,Chelsea,1,0
Southampton,Man City,1,4
Leeds,Crystal Palace,1,5
Liverpool,Arsenal,2,2
Aston Villa,Newcastle,3,0
Chelsea,Brighton,1,2
Everton,Fulham,1,3
Southampton,Crystal Palace,0,2
Tottenham,Bournemouth,2,3
Wolves,Brentford,2,0
Man City,Leicester,3,1
West Ham,Arsenal,2,2
Nott'm Forest,Man United,0,2
Leeds,Liverpool,1,6
Arsenal,Southampton,3,3
Fulham,Leeds,2,1
Brentford,Aston Villa,1,1
Crystal Palace,Everton,0,0
Leicester,Wolves,2,1
Liverpool,Nott'm Forest,3,2
Bournemouth,West Ham,0,4
Newcastle,Tottenham,6,1
Wolves,Crystal Palace,2,0
Aston Villa,Fulham,1,0
Leeds,Leicester,1,1
Nott'm Forest,Brighton,3,1
Chelsea,Brentford,0,2
West Ham,Liverpool,1,2
Man City,Arsenal,4,1
Everton,Newcastle,1,4
Southampton,Bournemouth,0,1
Tottenham,Man United,2,2
Crystal Palace,West Ham,4,3
Brentford,Nott'm Forest,2,1
Brighton,Wolves,6,0
Bournemouth,Leeds,4,1
Fulham,Man City,1,2
Man United,Aston Villa,1,0
Newcastle,Southampton,3,1
Liverpool,Tottenham,4,3
Leicester,Everton,2,2
Arsenal,Chelsea,3,1
Liverpool,Fulham,1,0
Man City,West Ham,3,0
Brighton,Man United,1,0
Bournemouth,Chelsea,1,3
Man City,Leeds,2,1
Tottenham,Crystal Palace,1,0
Wolves,Aston Villa,1,0
Liverpool,Brentford,1,0
Newcastle,Arsenal,0,2
West Ham,Man United,1,0
Fulham,Leicester,5,3
Brighton,Everton,1,5
Nott'm Forest,Southampton,4,3
Leeds,Newcastle,2,2
Aston Villa,Tottenham,2,1
Chelsea,Nott'm Forest,2,2
Crystal Palace,Bournemouth,2,0
Man United,Wolves,2,0
Southampton,Fulham,0,2
Brentford,West Ham,2,0
Everton,Man City,0,3
Arsenal,Brighton,0,3
Leicester,Liverpool,0,3
Newcastle,Brighton,4,1
Tottenham,Brentford,1,3
Bournemouth,Man United,0,1
Fulham,Crystal Palace,2,2
Liverpool,Aston Villa,1,1
Wolves,Everton,1,1
Nott'm Forest,Arsenal,1,0
West Ham,Leeds,3,1
Brighton,Southampton,3,1
Man City,Chelsea,1,0
Newcastle,Leicester,0,0
Brighton,Man City,1,1
Man United,Chelsea,4,1
Arsenal,Wolves,5,0
Aston Villa,Brighton,2,1
Brentford,Man City,1,0
Chelsea,Newcastle,1,1
Crystal Palace,Nott'm Forest,1,1
Everton,Bournemouth,1,0
Leeds,Tottenham,1,4
Leicester,West Ham,2,1
Man United,Fulham,2,1
Southampton,Liverpool,4,4
Burnley,Man City,0,3
Arsenal,Nott'm Forest,2,1
Bournemouth,West Ham,1,1
Brighton,Luton,4,1
Everton,Fulham,0,1
Sheffield United,Crystal Palace,0,1
Newcastle,Aston Villa,5,1
Brentford,Tottenham,2,2
Chelsea,Liverpool,1,1
Man United,Wolves,1,0
Nott'm Forest,Sheffield United,2,1
Fulham,Brentford,0,3
Liverpool,Bournemouth,3,1
Wolves,Brighton,1,4
Tottenham,Man United,2,0
Man City,Newcastle,1,0
Aston Villa,Everton,4,0
West Ham,Chelsea,3,1
Crystal Palace,Arsenal,0,1
Chelsea,Luton,3,0
Bournemouth,Tottenham,0,2
Arsenal,Fulham,2,2
Brentford,Crystal Palace,1,1
Everton,Wolves,0,1
Man United,Nott'm Forest,3,2
Brighton,West Ham,1,3
Burnley,Aston Villa,1,3
Sheffield United,Man City,1,2
Newcastle,Liverpool,1,2
Luton,West Ham,1,2
Sheffield United,Everton,2,2
Brentford,Bournemouth,2,2
Burnley,Tottenham,2,5
Chelsea,Nott'm Forest,0,1
Man City,Fulham,5,1
Brighton,Newcastle,3,1
Crystal Palace,Wolves,3,2
Liverpool,Aston Villa,3,0
Arsenal,Man United,3,1
Wolves,Liverpool,1,3
Aston Villa,Crystal Palace,3,1
Fulham,Luton,1,0
Man United,Brighton,1,3
Tottenham,Sheffield United,2,1
West Ham,Man City,1,3
Newcastle,Brentford,1,0
Bournemouth,Chelsea,0,0
Everton,Arsenal,0,1
Nott'm Forest,Burnley,1,1
Crystal Palace,Fulham,0,0
Luton,Wolves,1,1
Man City,Nott'm Forest,2,0
Brentford,Everton,1,3
Burnley,Man United,0,1
Arsenal,Tottenham,2,2
Brighton,Bournemouth,3,1
Chelsea,Aston Villa,0,1
Liverpool,West Ham,3,1
Sheffield United,Newcastle,0,8
Aston Villa,Brighton,6,1
Bournemouth,Arsenal,0,4
Everton,Luton,1,2
Man United,Crystal Palace,0,1
Newcastle,Burnley,2,0
West Ham,Sheffield United,2,0
Wolves,Man City,2,1
Tottenham,Liverpool,2,1
Nott'm Forest,Brentford,1,1
Fulham,Chelsea,0,2
Luton,Burnley,1,2
Luton,Tottenham,0,1
Burnley,Chelsea,1,4
Everton,Bournemouth,3,0
Fulham,Sheffield United,3,1
Man United,Brentford,2,1
Crystal Palace,Nott'm Forest,0,0
Brighton,Liverpool,2,2
West Ham,Newcastle,2,2
Wolves,Aston Villa,1,1
Arsenal,Man City,1,0
Liverpool,Everton,2,0
Bournemouth,Wolves,1,2
Brentford,Burnley,3,0
Man City,Brighton,2,1
Newcastle,Crystal Palace,4,0
Nott'm Forest,Luton,2,2
Chelsea,Arsenal,2,2
Sheffield United,Man United,1,2
Aston Villa,West Ham,4,1
Tottenham,Fulham,2,0
Crystal Palace,Tottenham,1,2
Chelsea,Brentford,0,2
Arsenal,Sheffield United,5,0
Bournemouth,Burnley,2,1
Wolves,Newcastle,2,2
West Ham,Everton,0,1
Aston Villa,Luton,3,1
Brighton,Fulham,1,1
Liverpool,Nott'm Forest,3,0
Man United,Man City,0,3
Fulham,Man United,0,1
Brentford,West Ham,3,2
Burnley,Crystal Palace,0,2
Everton,Brighton,1,1
Man City,Bournemouth,6,1
Sheffield United,Wolves,2,1
Newcastle,Arsenal,1,0
Nott'm Forest,Aston Villa,2,0
Luton,Liverpool,1,1
Tottenham,Chelsea,1,4
Wolves,Tottenham,2,1
Arsenal,Burnley,3,1
Crystal Palace,Everton,2,3
Man United,Luton,1,0
Bournemouth,Newcastle,2,0
Aston Villa,Fulham,3,1
Brighton,Sheffield United,1,1
Liverpool,Brentford,3,0
West Ham,Nott'm Forest,3,2
Chelsea,Man City,4,4
Man City,Liverpool,1,1
Burnley,West Ham,1,2
Luton,Crystal Palace,2,1
Newcastle,Chelsea,4,1
Nott'm Forest,Brighton,2,3
Sheffield United,Bournemouth,1,3
Brentford,Arsenal,0,1
Tottenham,Aston Villa,1,2
Everton,Man United,0,3
Fulham,Wolves,3,2
Arsenal,Wolves,2,1
Brentford,Luton,3,1
Burnley,Sheffield United,5,0
Nott'm Forest,Everton,0,1
Newcastle,Man United,1,0
Bournemouth,Aston Villa,2,2
Chelsea,Brighton,3,2
Liverpool,Fulham,4,3
West Ham,Crystal Palace,1,1
Man City,Tottenham,3,3
Wolves,Burnley,1,0
Luton,Arsenal,3,4
Brighton,Brentford,2,1
Crystal Palace,Bournemouth,0,2
Fulham,Nott'm Forest,5,0
Sheffield United,Liverpool,0,2
Aston Villa,Man City,1,0
Man United,Chelsea,2,1
Everton,Newcastle,3,0
Tottenham,West Ham,1,2
Crystal Palace,Liverpool,1,2
Brighton,Burnley,1,1
Man United,Bournemouth,0,3
Sheffield United,Brentford,1,0
Wolves,Nott'm Forest,1,1
Aston Villa,Arsenal,1,0
Everton,Chelsea,2,0
Fulham,West Ham,5,0
Luton,Man City,1,2
Tottenham,Newcastle,4,1
Nott'm Forest,Tottenham,0,2
Chelsea,Sheffield United,2,0
Man City,Crystal Palace,2,2
Newcastle,Fulham,3,0
Burnley,Everton,0,2
Arsenal,Brighton,2,0
Brentford,Aston Villa,1,2
West Ham,Wolves,3,0
Liverpool,Man United,0,0
Crystal Palace,Brighton,1,1
Aston Villa,Sheffield United,1,1
West Ham,Man United,2,0
Fulham,Burnley,0,2
Luton,Newcastle,1,0
Nott'm Forest,Bournemouth,2,3
Tottenham,Everton,2,1
Liverpool,Arsenal,1,1
Wolves,Chelsea,2,1
Newcastle,Nott'm Forest,1,3
Bournemouth,Fulham,3,0
Sheffield United,Luton,2,3
Burnley,Liverpool,0,2
Man United,Aston Villa,3,2
Brentford,Wolves,1,4
Chelsea,Crystal Palace,2,1
Everton,Man City,1,3
Brighton,Tottenham,4,2
Arsenal,West Ham,0,2
Luton,Chelsea,2,3
Aston Villa,Burnley,3,2
Crystal Palace,Brentford,3,1
Man City,Sheffield United,2,0
Wolves,Everton,3,0
Nott'm Forest,Man United,2,1
Fulham,Arsenal,2,1
Tottenham,Bournemouth,3,1
Liverpool,Newcastle,4,2
West Ham,Brighton,0,0
Burnley,Luton,1,1
Chelsea,Fulham,1,0
Newcastle,Man City,2,3
Everton,Aston Villa,0,0
Man United,Tottenham,2,2
Arsenal,Crystal Palace,5,0
Brentford,Nott'm Forest,3,2
Sheffield United,West Ham,2,2
Bournemouth,Liverpool,0,4
Brighton,Wolves,0,0
Nott'm Forest,Arsenal,1,2
Fulham,Everton,0,0
Luton,Brighton,4,0
Crystal Palace,Sheffield United,3,2
Aston Villa,Newcastle,1,3
Man City,Burnley,3,1
Tottenham,Brentford,3,2
Liverpool,Chelsea,4,1
West Ham,Bournemouth,1,1
Wolves,Man United,3,4
Everton,Tottenham,2,2
Brighton,Crystal Palace,4,1
Burnley,Fulham,2,2
Newcastle,Luton,4,4
Sheffield United,Aston Villa,0,5
Bournemouth,Nott'm Forest,1,1
Chelsea,Wolves,2,4
Man United,West Ham,3,0
Arsenal,Liverpool,3,1
Brentford,Man City,1,3
Man City,Everton,2,0
Fulham,Bournemouth,3,1
Liverpool,Burnley,3,1
Luton,Sheffield United,1,3
Tottenham,Brighton,2,1
Wolves,Brentford,0,2
Nott'm Forest,Newcastle,2,3
West Ham,Arsenal,0,6
Aston Villa,Man United,1,2
Crystal Palace,Chelsea,1,3
Brentford,Liverpool,1,4
Burnley,Arsenal,0,5
Fulham,Aston Villa,1,2
Newcastle,Bournemouth,2,2
Nott'm Forest,West Ham,2,0
Tottenham,Wolves,1,2
Man City,Chelsea,1,1
Sheffield United,Brighton,0,5
Luton,Man United,1,2
Everton,Crystal Palace,1,1
Man City,Brentford,1,0
Liverpool,Luton,4,1
Aston Villa,Nott'm Forest,4,2
Brighton,Everton,1,1
Crystal Palace,Burnley,3,0
Man United,Fulham,1,2
Bournemouth,Man City,0,1
Arsenal,Newcastle,4,1
Wolves,Sheffield United,1,0
West Ham,Brentford,4,2
Brentford,Chelsea,2,2
Everton,West Ham,1,3
Fulham,Brighton,3,0
Newcastle,Wolves,3,0
Nott'm Forest,Liverpool,0,1
Tottenham,Crystal Palace,3,1
Luton,Aston Villa,2,3
Burnley,Bournemouth,0,2
Man City,Man United,3,1
Sheffield United,Arsenal,0,6
Man United,Everton,2,0
Bournemouth,Sheffield United,2,2
Crystal Palace,Luton,1,1
Wolves,Fulham,2,1
Arsenal,Brentford,2,1
Aston Villa,Tottenham,0,4
Brighton,Nott'm Forest,1,0
West Ham,Burnley,2,2
Liverpool,Man City,1,1
Chelsea,Newcastle,3,2
Bournemouth,Luton,4,3
Burnley,Brentford,2,1
Luton,Nott'm Forest,1,1
Fulham,Tottenham,3,0
West Ham,Aston Villa,1,1
Newcastle,West Ham,4,3
Bournemouth,Everton,2,1
Chelsea,Burnley,2,2
Nott'm Forest,Crystal Palace,1,1
Sheffield United,Fulham,3,3
Tottenham,Luton,2,1
Aston Villa,Wolves,2,0
Brentford,Man United,1,1
Liverpool,Brighton,2,1
Man City,Arsenal,0,0
Newcastle,Everton,1,1
Nott'm Forest,Fulham,3,1
Bournemouth,Crystal Palace,1,0
Burnley,Wolves,1,1
West Ham,Tottenham,1,1
Arsenal,Luton,2,0
Brentford,Brighton,0,0
Man City,Aston Villa,4,1
Liverpool,Sheffield United,3,1
Chelsea,Man United,4,3
Crystal Palace,Man City,2,4
Aston Villa,Brentford,3,3
Everton,Burnley,1,0
Fulham,Newcastle,0,1
Luton,Bournemouth,2,1
Wolves,West Ham,1,2
Brighton,Arsenal,0,3
Man United,Liverpool,2,2
Sheffield United,Chelsea,2,2
Tottenham,Nott'm Forest,3,1
Newcastle,Tottenham,4,0
Brentford,Sheffield United,2,0
Burnley,Brighton,1,1
Man City,Luton,5,1
Nott'm Forest,Wolves,2,2
Bournemouth,Man United,2,2
Liverpool,Crystal Palace,0,1
West Ham,Fulham,0,2
Arsenal,Aston Villa,0,2
Chelsea,Everton,6,0
Luton,Brentford,1,5
Sheffield United,Burnley,1,4
Wolves,Arsenal,0,2
Everton,Nott'm Forest,2,0
Aston Villa,Bournemouth,3,1
Crystal Palace,West Ham,5,2
Fulham,Liverpool,1,3
Arsenal,Chelsea,5,0
Wolves,Bournemouth,0,1
Crystal Palace,Newcastle,2,0
Everton,Liverpool,2,0
Man United,Sheffield United,4,2
Brighton,Man City,0,4
West Ham,Liverpool,2,2
Fulham,Crystal Palace,1,1
Man United,Burnley,1,1
Newcastle,Sheffield United,5,1
Wolves,Luton,2,1
Everton,Brentford,1,0
Aston Villa,Chelsea,2,2
Bournemouth,Brighton,3,0
Tottenham,Arsenal,2,3
Nott'm Forest,Man City,0,2
Chelsea,Tottenham,2,0
Luton,Everton,1,1
Arsenal,Bournemouth,3,0
Brentford,Fulham,0,0
Burnley,Newcastle,1,4
Sheffield United,Nott'm Forest,1,3
Man City,Wolves,5,1
Brighton,Aston Villa,1,0
Chelsea,West Ham,5,0
Liverpool,Tottenham,4,2
Crystal Palace,Man United,4,0
Fulham,Man City,0,4
Bournemouth,Brentford,1,2
Everton,Sheffield United,1,0
Newcastle,Brighton,1,1
Tottenham,Burnley,2,1
West Ham,Luton,3,1
Wolves,Crystal Palace,1,3
Nott'm Forest,Chelsea,2,3
Man United,Arsenal,0,1
Aston Villa,Liverpool,3,3
Tottenham,Man City,0,2
Brighton,Chelsea,1,2
Man United,Newcastle,3,2
Arsenal,Everton,2,1
Brentford,Newcastle,2,4
Brighton,Man United,0,2
Burnley,Nott'm Forest,1,2
Chelsea,Bournemouth,2,1
Crystal Palace,Aston Villa,5,0
Liverpool,Wolves,2,0
Luton,Fulham,2,4
Man City,West Ham,3,1
Sheffield United,Tottenham,0,3
Man United,Fulham,1,0
Ipswich,Liverpool,0,2
Arsenal,Wolves,2,0
Everton,Brighton,0,3
Newcastle,Southampton,1,0
Nott'm Forest,Bournemouth,1,1
West Ham,Aston Villa,1,2
Brentford,Crystal Palace,2,1
Chelsea,Man City,0,2
Leicester,Tottenham,1,1
Brighton,Man United,2,1
Crystal Palace,West Ham,0,2
Fulham,Leicester,2,1
Man City,Ipswich,4,1
Southampton,Nott'm Forest,0,1
Tottenham,Everton,4,0
Aston Villa,Arsenal,0,2
Bournemouth,Newcastle,1,1
Wolves,Chelsea,2,6
Liverpool,Brentford,2,0
Arsenal,Brighton,1,1
Brentford,Southampton,3,1
Everton,Bournemouth,2,3
Ipswich,Fulham,1,1
Leicester,Aston Villa,1,2
Nott'm Forest,Wolves,1,1
West Ham,Man City,1,3
Chelsea,Crystal Palace,1,1
Newcastle,Tottenham,2,1
Man United,Liverpool,0,3
Southampton,Man United,0,3
Brighton,Ipswich,0,0
Crystal Palace,Leicester,2,2
Fulham,West Ham,1,1
Liverpool,Nott'm Forest,0,1
Man City,Brentford,2,1
Aston Villa,Everton,3,2
Bournemouth,Chelsea,0,1
Tottenham,Arsenal,0,1
Wolves,Newcastle,1,2
West Ham,Chelsea,0,3
Aston Villa,Wolves,3,1
Fulham,Newcastle,3,1
Leicester,Everton,1,1
Liverpool,Bournemouth,3,0
Southampton,Ipswich,1,1
Tottenham,Brentford,3,1
Crystal Palace,Man United,0,0
Brighton,Nott'm Forest,2,2
Man City,Arsenal,2,2
Newcastle,Man City,1,1
Arsenal,Leicester,4,2
Brentford,West Ham,1,1
Chelsea,Brighton,4,2
Everton,Crystal Palace,2,1
Nott'm Forest,Fulham,0,1
Wolves,Liverpool,1,2
Ipswich,Aston Villa,2,2
Man United,Tottenham,0,3
Bournemouth,Southampton,3,1
Crystal Palace,Liverpool,0,1
Arsenal,Southampton,3,1
Brentford,Wolves,5,3
Leicester,Bournemouth,1,0
Man City,Fulham,3,2
West Ham,Ipswich,4,1
Everton,Newcastle,0,0
Aston Villa,Man United,0,0
Chelsea,Nott'm Forest,1,1
Brighton,Tottenham,3,2
Tottenham,West Ham,4,1
Fulham,Aston Villa,1,3
Ipswich,Everton,0,2
Man United,Brentford,2,1
Newcastle,Brighton,0,1
Southampton,Leicester,2,3
Bournemouth,Arsenal,2,0
Wolves,Man City,1,2
Liverpool,Chelsea,2,1
Nott'm Forest,Crystal Palace,1,0
Leicester,Nott'm Forest,1,3
Aston Villa,Bournemouth,1,1
Brentford,Ipswich,4,3
Brighton,Wolves,2,2
Man City,Southampton,1,0
Everton,Fulham,1,1
Chelsea,Newcastle,2,1
Crystal Palace,Tottenham,1,0
West Ham,Man United,2,1
Arsenal,Liverpool,2,2
Newcastle,Arsenal,1,0
Bournemouth,Man City,2,1
Ipswich,Leicester,1,1
Liverpool,Brighton,2,1
Nott'm Forest,West Ham,3,0
Southampton,Everton,1,0
Wolves,Crystal Palace,2,2
Tottenham,Aston Villa,4,1
Man United,Chelsea,1,1
Fulham,Brentford,2,1
Brentford,Bournemouth,3,2
Crystal Palace,Fulham,0,2
West Ham,Everton,0,0
Wolves,Southampton,2,0
Brighton,Man City,2,1
Liverpool,Aston Villa,2,0
Man United,Leicester,3,0
Nott'm Forest,Newcastle,1,3
Tottenham,Ipswich,1,2
Chelsea,Arsenal,1,1
Leicester,Chelsea,1,2
Arsenal,Nott'm Forest,3,0
Aston Villa,Crystal Palace,2,2
Bournemouth,Brighton,1,2
Everton,Brentford,0,0
Fulham,Wolves,1,4
Man City,Tottenham,0,4
Southampton,Liverpool,2,3
Ipswich,Man United,1,1
Newcastle,West Ham,0,2
Brighton,Southampton,1,1
Brentford,Leicester,4,1
Crystal Palace,Newcastle,1,1
Nott'm Forest,Ipswich,1,0
Wolves,Bournemouth,2,4
West Ham,Arsenal,2,5
Chelsea,Aston Villa,3,0
Man United,Everton,4,0
Tottenham,Fulham,1,1
Liverpool,Man City,2,0
Ipswich,Crystal Palace,0,1
Leicester,West Ham,3,1
Everton,Wolves,4,0
Man City,Nott'm Forest,3,0
Newcastle,Liverpool,3,3
Southampton,Chelsea,1,5
Arsenal,Man United,2,0
Aston Villa,Brentford,3,1
Fulham,Brighton,3,1
Bournemouth,Tottenham,1,0
Aston Villa,Southampton,1,0
Brentford,Newcastle,4,2
Crystal Palace,Man City,2,2
Man United,Nott'm Forest,2,3
Fulham,Arsenal,1,1
Ipswich,Bournemouth,1,2
Leicester,Brighton,2,2
Tottenham,Chelsea,3,4
